Date,Weight Rooms
2022-10-15 16:20:00,101.5
2022-10-15 16:40:00,100.5
2022-10-15 17:00:00,102.5
2022-10-15 17:20:00,106.5
2022-10-15 17:40:00,77.5
2022-10-15 18:00:00,
2022-10-15 18:20:00,
2022-10-15 18:40:00,
2022-10-15 19:00:00,
2022-10-15 19:20:00,
2022-10-15 19:40:00,
2022-10-15 20:00:00,
2022-10-15 20:20:00,
2022-10-15 20:40:00,
2022-10-15 21:00:00,
2022-10-15 21:20:00,
2022-10-15 21:40:00,
2022-10-15 22:00:00,
2022-10-15 22:20:00,
2022-10-15 22:40:00,
2022-10-15 23:00:00,
2022-10-15 23:20:00,
2022-10-15 23:40:00,
2022-10-16 00:00:00,
2022-10-16 00:20:00,
2022-10-16 00:40:00,
2022-10-16 01:00:00,
2022-10-16 01:20:00,
2022-10-16 01:40:00,
2022-10-16 02:00:00,
2022-10-16 02:20:00,
2022-10-16 02:40:00,
2022-10-16 03:00:00,
2022-10-16 03:20:00,
2022-10-16 03:40:00,
2022-10-16 04:00:00,
2022-10-16 04:20:00,
2022-10-16 04:40:00,
2022-10-16 05:00:00,
2022-10-16 05:20:00,
2022-10-16 05:40:00,
2022-10-16 06:00:00,
2022-10-16 06:20:00,
2022-10-16 06:40:00,
2022-10-16 07:00:00,
2022-10-16 07:20:00,
2022-10-16 07:40:00,
2022-10-16 08:00:00,
2022-10-16 08:20:00,
2022-10-16 08:40:00,
2022-10-16 09:00:00,
2022-10-16 09:20:00,
2022-10-16 09:40:00,
2022-10-16 10:00:00,
2022-10-16 10:20:00,
2022-10-16 10:40:00,
2022-10-16 11:00:00,
2022-10-16 11:20:00,
2022-10-16 11:40:00,
2022-10-16 12:00:00,
2022-10-16 12:20:00,
2022-10-16 12:40:00,
2022-10-16 13:00:00,
2022-10-16 13:20:00,
2022-10-16 13:40:00,
2022-10-16 14:00:00,
2022-10-16 14:20:00,
2022-10-16 14:40:00,
2022-10-16 15:00:00,
2022-10-16 15:20:00,
2022-10-16 15:40:00,
2022-10-16 16:00:00,
2022-10-16 16:20:00,
2022-10-16 16:40:00,
2022-10-16 17:00:00,
2022-10-16 17:20:00,
2022-10-16 17:40:00,
2022-10-16 18:00:00,
2022-10-16 18:20:00,
2022-10-16 18:40:00,
2022-10-16 19:00:00,
2022-10-16 19:20:00,
2022-10-16 19:40:00,
2022-10-16 20:00:00,
2022-10-16 20:20:00,
2022-10-16 20:40:00,
2022-10-16 21:00:00,
2022-10-16 21:20:00,
2022-10-16 21:40:00,
2022-10-16 22:00:00,
2022-10-16 22:20:00,
2022-10-16 22:40:00,
2022-10-16 23:00:00,
2022-10-16 23:20:00,
2022-10-16 23:40:00,
2022-10-17 00:00:00,
2022-10-17 00:20:00,
2022-10-17 00:40:00,
2022-10-17 01:00:00,
2022-10-17 01:20:00,
2022-10-17 01:40:00,
2022-10-17 02:00:00,
2022-10-17 02:20:00,
2022-10-17 02:40:00,
2022-10-17 03:00:00,
2022-10-17 03:20:00,
2022-10-17 03:40:00,
2022-10-17 04:00:00,
2022-10-17 04:20:00,
2022-10-17 04:40:00,
2022-10-17 05:00:00,
2022-10-17 05:20:00,
2022-10-17 05:40:00,
2022-10-17 06:00:00,
2022-10-17 06:20:00,
2022-10-17 06:40:00,
2022-10-17 07:00:00,
2022-10-17 07:20:00,
2022-10-17 07:40:00,
2022-10-17 08:00:00,
2022-10-17 08:20:00,
2022-10-17 08:40:00,
2022-10-17 09:00:00,
2022-10-17 09:20:00,
2022-10-17 09:40:00,
2022-10-17 10:00:00,
2022-10-17 10:20:00,
2022-10-17 10:40:00,
2022-10-17 11:00:00,
2022-10-17 11:20:00,
2022-10-17 11:40:00,
2022-10-17 12:00:00,
2022-10-17 12:20:00,
2022-10-17 12:40:00,
2022-10-17 13:00:00,
2022-10-17 13:20:00,
2022-10-17 13:40:00,
2022-10-17 14:00:00,
2022-10-17 14:20:00,
2022-10-17 14:40:00,
2022-10-17 15:00:00,
2022-10-17 15:20:00,
2022-10-17 15:40:00,
2022-10-17 16:00:00,
2022-10-17 16:20:00,
2022-10-17 16:40:00,
2022-10-17 17:00:00,
2022-10-17 17:20:00,
2022-10-17 17:40:00,
2022-10-17 18:00:00,
2022-10-17 18:20:00,
2022-10-17 18:40:00,
2022-10-17 19:00:00,
2022-10-17 19:20:00,
2022-10-17 19:40:00,
2022-10-17 20:00:00,
2022-10-17 20:20:00,
2022-10-17 20:40:00,
2022-10-17 21:00:00,
2022-10-17 21:20:00,
2022-10-17 21:40:00,
2022-10-17 22:00:00,
2022-10-17 22:20:00,
2022-10-17 22:40:00,
2022-10-17 23:00:00,
2022-10-17 23:20:00,
2022-10-17 23:40:00,
2022-10-18 00:00:00,
2022-10-18 00:20:00,
2022-10-18 00:40:00,
2022-10-18 01:00:00,
2022-10-18 01:20:00,
2022-10-18 01:40:00,
2022-10-18 02:00:00,
2022-10-18 02:20:00,
2022-10-18 02:40:00,
2022-10-18 03:00:00,
2022-10-18 03:20:00,
2022-10-18 03:40:00,
2022-10-18 04:00:00,
2022-10-18 04:20:00,
2022-10-18 04:40:00,
2022-10-18 05:00:00,
2022-10-18 05:20:00,
2022-10-18 05:40:00,
2022-10-18 06:00:00,
2022-10-18 06:20:00,
2022-10-18 06:40:00,
2022-10-18 07:00:00,
2022-10-18 07:20:00,
2022-10-18 07:40:00,
2022-10-18 08:00:00,
2022-10-18 08:20:00,
2022-10-18 08:40:00,
2022-10-18 09:00:00,
2022-10-18 09:20:00,
2022-10-18 09:40:00,
2022-10-18 10:00:00,
2022-10-18 10:20:00,
2022-10-18 10:40:00,
2022-10-18 11:00:00,
2022-10-18 11:20:00,
2022-10-18 11:40:00,
2022-10-18 12:00:00,
2022-10-18 12:20:00,
2022-10-18 12:40:00,
2022-10-18 13:00:00,
2022-10-18 13:20:00,
2022-10-18 13:40:00,
2022-10-18 14:00:00,
2022-10-18 14:20:00,
2022-10-18 14:40:00,
2022-10-18 15:00:00,
2022-10-18 15:20:00,
2022-10-18 15:40:00,
2022-10-18 16:00:00,
2022-10-18 16:20:00,
2022-10-18 16:40:00,
2022-10-18 17:00:00,
2022-10-18 17:20:00,
2022-10-18 17:40:00,
2022-10-18 18:00:00,
2022-10-18 18:20:00,
2022-10-18 18:40:00,
2022-10-18 19:00:00,
2022-10-18 19:20:00,
2022-10-18 19:40:00,
2022-10-18 20:00:00,
2022-10-18 20:20:00,
2022-10-18 20:40:00,
2022-10-18 21:00:00,
2022-10-18 21:20:00,
2022-10-18 21:40:00,
2022-10-18 22:00:00,
2022-10-18 22:20:00,
2022-10-18 22:40:00,
2022-10-18 23:00:00,
2022-10-18 23:20:00,
2022-10-18 23:40:00,
2022-10-19 00:00:00,
2022-10-19 00:20:00,
2022-10-19 00:40:00,
2022-10-19 01:00:00,
2022-10-19 01:20:00,
2022-10-19 01:40:00,
2022-10-19 02:00:00,
2022-10-19 02:20:00,
2022-10-19 02:40:00,
2022-10-19 03:00:00,
2022-10-19 03:20:00,
2022-10-19 03:40:00,
2022-10-19 04:00:00,
2022-10-19 04:20:00,
2022-10-19 04:40:00,
2022-10-19 05:00:00,
2022-10-19 05:20:00,
2022-10-19 05:40:00,
2022-10-19 06:00:00,
2022-10-19 06:20:00,
2022-10-19 06:40:00,
2022-10-19 07:00:00,
2022-10-19 07:20:00,
2022-10-19 07:40:00,
2022-10-19 08:00:00,
2022-10-19 08:20:00,
2022-10-19 08:40:00,
2022-10-19 09:00:00,
2022-10-19 09:20:00,
2022-10-19 09:40:00,
2022-10-19 10:00:00,
2022-10-19 10:20:00,
2022-10-19 10:40:00,
2022-10-19 11:00:00,
2022-10-19 11:20:00,
2022-10-19 11:40:00,
2022-10-19 12:00:00,
2022-10-19 12:20:00,
2022-10-19 12:40:00,
2022-10-19 13:00:00,
2022-10-19 13:20:00,
2022-10-19 13:40:00,
2022-10-19 14:00:00,
2022-10-19 14:20:00,
2022-10-19 14:40:00,
2022-10-19 15:00:00,
2022-10-19 15:20:00,
2022-10-19 15:40:00,
2022-10-19 16:00:00,
2022-10-19 16:20:00,
2022-10-19 16:40:00,
2022-10-19 17:00:00,
2022-10-19 17:20:00,
2022-10-19 17:40:00,
2022-10-19 18:00:00,
2022-10-19 18:20:00,
2022-10-19 18:40:00,
2022-10-19 19:00:00,
2022-10-19 19:20:00,
2022-10-19 19:40:00,
2022-10-19 20:00:00,
2022-10-19 20:20:00,
2022-10-19 20:40:00,
2022-10-19 21:00:00,
2022-10-19 21:20:00,
2022-10-19 21:40:00,
2022-10-19 22:00:00,
2022-10-19 22:20:00,
2022-10-19 22:40:00,
2022-10-19 23:00:00,
2022-10-19 23:20:00,
2022-10-19 23:40:00,
2022-10-20 00:00:00,
2022-10-20 00:20:00,
2022-10-20 00:40:00,
2022-10-20 01:00:00,
2022-10-20 01:20:00,
2022-10-20 01:40:00,
2022-10-20 02:00:00,
2022-10-20 02:20:00,
2022-10-20 02:40:00,
2022-10-20 03:00:00,
2022-10-20 03:20:00,
2022-10-20 03:40:00,
2022-10-20 04:00:00,
2022-10-20 04:20:00,
2022-10-20 04:40:00,
2022-10-20 05:00:00,
2022-10-20 05:20:00,
2022-10-20 05:40:00,
2022-10-20 06:00:00,
2022-10-20 06:20:00,
2022-10-20 06:40:00,
2022-10-20 07:00:00,
2022-10-20 07:20:00,
2022-10-20 07:40:00,
2022-10-20 08:00:00,
2022-10-20 08:20:00,
2022-10-20 08:40:00,
2022-10-20 09:00:00,
2022-10-20 09:20:00,
2022-10-20 09:40:00,
2022-10-20 10:00:00,
2022-10-20 10:20:00,
2022-10-20 10:40:00,
2022-10-20 11:00:00,
2022-10-20 11:20:00,
2022-10-20 11:40:00,
2022-10-20 12:00:00,
2022-10-20 12:20:00,
2022-10-20 12:40:00,
2022-10-20 13:00:00,
2022-10-20 13:20:00,
2022-10-20 13:40:00,
2022-10-20 14:00:00,
2022-10-20 14:20:00,
2022-10-20 14:40:00,
2022-10-20 15:00:00,
2022-10-20 15:20:00,
2022-10-20 15:40:00,
2022-10-20 16:00:00,
2022-10-20 16:20:00,
2022-10-20 16:40:00,
2022-10-20 17:00:00,
2022-10-20 17:20:00,
2022-10-20 17:40:00,
2022-10-20 18:00:00,
2022-10-20 18:20:00,
2022-10-20 18:40:00,
2022-10-20 19:00:00,
2022-10-20 19:20:00,
2022-10-20 19:40:00,
2022-10-20 20:00:00,
2022-10-20 20:20:00,
2022-10-20 20:40:00,
2022-10-20 21:00:00,
2022-10-20 21:20:00,
2022-10-20 21:40:00,
2022-10-20 22:00:00,
2022-10-20 22:20:00,
2022-10-20 22:40:00,
2022-10-20 23:00:00,
2022-10-20 23:20:00,
2022-10-20 23:40:00,
2022-10-21 00:00:00,
2022-10-21 00:20:00,
2022-10-21 00:40:00,
2022-10-21 01:00:00,
2022-10-21 01:20:00,
2022-10-21 01:40:00,
2022-10-21 02:00:00,
2022-10-21 02:20:00,
2022-10-21 02:40:00,
2022-10-21 03:00:00,
2022-10-21 03:20:00,
2022-10-21 03:40:00,
2022-10-21 04:00:00,
2022-10-21 04:20:00,
2022-10-21 04:40:00,
2022-10-21 05:00:00,
2022-10-21 05:20:00,
2022-10-21 05:40:00,
2022-10-21 06:00:00,
2022-10-21 06:20:00,
2022-10-21 06:40:00,
2022-10-21 07:00:00,
2022-10-21 07:20:00,
2022-10-21 07:40:00,
2022-10-21 08:00:00,
2022-10-21 08:20:00,
2022-10-21 08:40:00,
2022-10-21 09:00:00,
2022-10-21 09:20:00,
2022-10-21 09:40:00,
2022-10-21 10:00:00,
2022-10-21 10:20:00,
2022-10-21 10:40:00,
2022-10-21 11:00:00,
2022-10-21 11:20:00,
2022-10-21 11:40:00,
2022-10-21 12:00:00,
2022-10-21 12:20:00,
2022-10-21 12:40:00,
2022-10-21 13:00:00,
2022-10-21 13:20:00,
2022-10-21 13:40:00,
2022-10-21 14:00:00,
2022-10-21 14:20:00,
2022-10-21 14:40:00,
2022-10-21 15:00:00,
2022-10-21 15:20:00,
2022-10-21 15:40:00,
2022-10-21 16:00:00,
2022-10-21 16:20:00,
2022-10-21 16:40:00,
2022-10-21 17:00:00,
2022-10-21 17:20:00,
2022-10-21 17:40:00,
2022-10-21 18:00:00,
2022-10-21 18:20:00,
2022-10-21 18:40:00,
2022-10-21 19:00:00,
2022-10-21 19:20:00,
2022-10-21 19:40:00,
2022-10-21 20:00:00,
2022-10-21 20:20:00,
2022-10-21 20:40:00,
2022-10-21 21:00:00,
2022-10-21 21:20:00,
2022-10-21 21:40:00,
2022-10-21 22:00:00,
2022-10-21 22:20:00,
2022-10-21 22:40:00,
2022-10-21 23:00:00,
2022-10-21 23:20:00,
2022-10-21 23:40:00,
2022-10-22 00:00:00,
2022-10-22 00:20:00,
2022-10-22 00:40:00,
2022-10-22 01:00:00,
2022-10-22 01:20:00,
2022-10-22 01:40:00,
2022-10-22 02:00:00,
2022-10-22 02:20:00,
2022-10-22 02:40:00,
2022-10-22 03:00:00,
2022-10-22 03:20:00,
2022-10-22 03:40:00,
2022-10-22 04:00:00,
2022-10-22 04:20:00,
2022-10-22 04:40:00,
2022-10-22 05:00:00,
2022-10-22 05:20:00,
2022-10-22 05:40:00,
2022-10-22 06:00:00,
2022-10-22 06:20:00,
2022-10-22 06:40:00,
2022-10-22 07:00:00,
2022-10-22 07:20:00,
2022-10-22 07:40:00,
2022-10-22 08:00:00,12.25
2022-10-22 08:20:00,24.75
2022-10-22 08:40:00,39.5
2022-10-22 09:00:00,47.5
2022-10-22 09:20:00,50.75
2022-10-22 09:40:00,59.0
2022-10-22 10:00:00,59.5
2022-10-22 10:20:00,65.5
2022-10-22 10:40:00,71.25
2022-10-22 11:00:00,81.25
2022-10-22 11:20:00,80.25
2022-10-22 11:40:00,72.0
2022-10-22 12:00:00,63.25
2022-10-22 12:20:00,68.0
2022-10-22 12:40:00,71.5
2022-10-22 13:00:00,73.0
2022-10-22 13:20:00,70.25
2022-10-22 13:40:00,74.5
2022-10-22 14:00:00,81.0
2022-10-22 14:20:00,87.5
2022-10-22 14:40:00,87.75
2022-10-22 15:00:00,79.75
2022-10-22 15:20:00,72.25
2022-10-22 15:40:00,82.75
2022-10-22 16:00:00,93.5
2022-10-22 16:20:00,100.75
2022-10-22 16:40:00,99.5
2022-10-22 17:00:00,97.25
2022-10-22 17:20:00,95.75
2022-10-22 17:40:00,69.75
